state,race_ethnicity,education,household_income,n
AL,Caucasian,Highschool diploma,$0 - $15k: living in poverty,597
AL,Caucasian,Highschool diploma,$150k+ : upper class,1025
AL,Caucasian,Highschool diploma,$15k - $35k: low income,1054
AL,Caucasian,Highschool diploma,$35k - $70k: middle class,1850
AL,Caucasian,Highschool diploma,$70 - $150k: upper middle class,2459
AL,Caucasian,No highschool diploma,$0 - $15k: living in poverty,2444
AL,Caucasian,No highschool diploma,$150k+ : upper class,2645
AL,Caucasian,No highschool diploma,$15k - $35k: low income,4065
AL,Caucasian,No highschool diploma,$35k - $70k: middle class,5834
AL,Caucasian,No highschool diploma,$70 - $150k: upper middle class,5986
AL,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,206
AL,Caucasian,Undergraduate degree,$150k+ : upper class,1054
AL,Caucasian,Undergraduate degree,$15k - $35k: low income,418
AL,Caucasian,Undergraduate degree,$35k - $70k: middle class,1085
AL,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,1983
AL,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,45
AL,Not Caucasian,Graduate degree or more,$150k+ : upper class,116
AL,Not Caucasian,Graduate degree or more,$15k - $35k: low income,64
AL,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,179
AL,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,237
AL,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,340
AL,Not Caucasian,Highschool diploma,$150k+ : upper class,338
AL,Not Caucasian,Highschool diploma,$15k - $35k: low income,550
AL,Not Caucasian,Highschool diploma,$35k - $70k: middle class,646
AL,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,506
AL,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,1924
AL,Not Caucasian,No highschool diploma,$150k+ : upper class,1009
AL,Not Caucasian,No highschool diploma,$15k - $35k: low income,2082
AL,Not Caucasian,No highschool diploma,$35k - $70k: middle class,2044
AL,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,1176
AL,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,82
AL,Not Caucasian,Undergraduate degree,$150k+ : upper class,116
AL,Not Caucasian,Undergraduate degree,$15k - $35k: low income,140
AL,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,317
AL,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,315
AR,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,45
AR,Caucasian,Graduate degree or more,$150k+ : upper class,443
AR,Caucasian,Graduate degree or more,$15k - $35k: low income,101
AR,Caucasian,Graduate degree or more,$35k - $70k: middle class,319
AR,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,642
AR,Caucasian,Highschool diploma,$0 - $15k: living in poverty,420
AR,Caucasian,Highschool diploma,$150k+ : upper class,656
AR,Caucasian,Highschool diploma,$15k - $35k: low income,795
AR,Caucasian,Highschool diploma,$35k - $70k: middle class,1358
AR,Caucasian,Highschool diploma,$70 - $150k: upper middle class,1308
AR,Caucasian,No highschool diploma,$0 - $15k: living in poverty,1930
AR,Caucasian,No highschool diploma,$150k+ : upper class,1804
AR,Caucasian,No highschool diploma,$15k - $35k: low income,3557
AR,Caucasian,No highschool diploma,$35k - $70k: middle class,4777
AR,Caucasian,No highschool diploma,$70 - $150k: upper middle class,3920
AR,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,153
AR,Caucasian,Undergraduate degree,$150k+ : upper class,565
AR,Caucasian,Undergraduate degree,$15k - $35k: low income,296
AR,Caucasian,Undergraduate degree,$35k - $70k: middle class,711
AR,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,1146
AR,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,14
AR,Not Caucasian,Graduate degree or more,$150k+ : upper class,46
AR,Not Caucasian,Graduate degree or more,$15k - $35k: low income,25
AR,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,55
AR,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,80
AR,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,165
AR,Not Caucasian,Highschool diploma,$150k+ : upper class,141
AR,Not Caucasian,Highschool diploma,$15k - $35k: low income,232
AR,Not Caucasian,Highschool diploma,$35k - $70k: middle class,268
AR,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,170
AR,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,830
AR,Not Caucasian,No highschool diploma,$150k+ : upper class,401
AR,Not Caucasian,No highschool diploma,$15k - $35k: low income,1042
AR,Not Caucasian,No highschool diploma,$35k - $70k: middle class,1066
AR,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,623
AR,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,30
AR,Not Caucasian,Undergraduate degree,$150k+ : upper class,54
AR,Not Caucasian,Undergraduate degree,$15k - $35k: low income,72
AR,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,119
AR,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,124
AZ,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,167
AZ,Caucasian,Graduate degree or more,$150k+ : upper class,1688
AZ,Caucasian,Graduate degree or more,$15k - $35k: low income,363
AZ,Caucasian,Graduate degree or more,$35k - $70k: middle class,987
AZ,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,1878
AZ,Caucasian,Highschool diploma,$0 - $15k: living in poverty,920
AZ,Caucasian,Highschool diploma,$150k+ : upper class,1913
AZ,Caucasian,Highschool diploma,$15k - $35k: low income,1897
AZ,Caucasian,Highschool diploma,$35k - $70k: middle class,3315
AZ,Caucasian,Highschool diploma,$70 - $150k: upper middle class,3575
AZ,Caucasian,No highschool diploma,$0 - $15k: living in poverty,2604
AZ,Caucasian,No highschool diploma,$150k+ : upper class,4886
AZ,Caucasian,No highschool diploma,$15k - $35k: low income,5299
AZ,Caucasian,No highschool diploma,$35k - $70k: middle class,7968
AZ,Caucasian,No highschool diploma,$70 - $150k: upper middle class,8223
AZ,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,436
AZ,Caucasian,Undergraduate degree,$150k+ : upper class,2073
AZ,Caucasian,Undergraduate degree,$15k - $35k: low income,871
AZ,Caucasian,Undergraduate degree,$35k - $70k: middle class,1987
AZ,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,3142
AZ,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,45
AZ,Not Caucasian,Graduate degree or more,$150k+ : upper class,306
AZ,Not Caucasian,Graduate degree or more,$15k - $35k: low income,65
AZ,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,186
AZ,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,318
AZ,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,368
AZ,Not Caucasian,Highschool diploma,$150k+ : upper class,399
AZ,Not Caucasian,Highschool diploma,$15k - $35k: low income,537
AZ,Not Caucasian,Highschool diploma,$35k - $70k: middle class,791
AZ,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,708
AZ,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,1679
AZ,Not Caucasian,No highschool diploma,$150k+ : upper class,1570
AZ,Not Caucasian,No highschool diploma,$15k - $35k: low income,2254
AZ,Not Caucasian,No highschool diploma,$35k - $70k: middle class,2937
AZ,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,2312
AZ,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,113
AZ,Not Caucasian,Undergraduate degree,$150k+ : upper class,291
AZ,Not Caucasian,Undergraduate degree,$15k - $35k: low income,147
AZ,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,302
AZ,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,470
CA,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,825
CA,Caucasian,Graduate degree or more,$150k+ : upper class,12527
CA,Caucasian,Graduate degree or more,$15k - $35k: low income,1370
CA,Caucasian,Graduate degree or more,$35k - $70k: middle class,3218
CA,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,7953
CA,Caucasian,Highschool diploma,$0 - $15k: living in poverty,3738
CA,Caucasian,Highschool diploma,$150k+ : upper class,11614
CA,Caucasian,Highschool diploma,$15k - $35k: low income,5972
CA,Caucasian,Highschool diploma,$35k - $70k: middle class,10432
CA,Caucasian,Highschool diploma,$70 - $150k: upper middle class,15469
CA,Caucasian,No highschool diploma,$0 - $15k: living in poverty,10852
CA,Caucasian,No highschool diploma,$150k+ : upper class,27190
CA,Caucasian,No highschool diploma,$15k - $35k: low income,18434
CA,Caucasian,No highschool diploma,$35k - $70k: middle class,28668
CA,Caucasian,No highschool diploma,$70 - $150k: upper middle class,34509
CA,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,1875
CA,Caucasian,Undergraduate degree,$150k+ : upper class,14953
CA,Caucasian,Undergraduate degree,$15k - $35k: low income,3138
CA,Caucasian,Undergraduate degree,$35k - $70k: middle class,6833
CA,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,13039
CA,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,502
CA,Not Caucasian,Graduate degree or more,$150k+ : upper class,6478
CA,Not Caucasian,Graduate degree or more,$15k - $35k: low income,719
CA,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,1458
CA,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,3657
CA,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,2451
CA,Not Caucasian,Highschool diploma,$150k+ : upper class,6016
CA,Not Caucasian,Highschool diploma,$15k - $35k: low income,3341
CA,Not Caucasian,Highschool diploma,$35k - $70k: middle class,5753
CA,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,8225
CA,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,8304
CA,Not Caucasian,No highschool diploma,$150k+ : upper class,18777
CA,Not Caucasian,No highschool diploma,$15k - $35k: low income,13729
CA,Not Caucasian,No highschool diploma,$35k - $70k: middle class,19985
CA,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,23914
CA,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,1304
CA,Not Caucasian,Undergraduate degree,$150k+ : upper class,8113
CA,Not Caucasian,Undergraduate degree,$15k - $35k: low income,1873
CA,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,3833
CA,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,7776
CO,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,176
CO,Caucasian,Graduate degree or more,$150k+ : upper class,2368
CO,Caucasian,Graduate degree or more,$15k - $35k: low income,356
CO,Caucasian,Graduate degree or more,$35k - $70k: middle class,1021
CO,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,2241
CO,Caucasian,Highschool diploma,$0 - $15k: living in poverty,745
CO,Caucasian,Highschool diploma,$150k+ : upper class,1806
CO,Caucasian,Highschool diploma,$15k - $35k: low income,1291
CO,Caucasian,Highschool diploma,$35k - $70k: middle class,2337
CO,Caucasian,Highschool diploma,$70 - $150k: upper middle class,3040
CO,Caucasian,No highschool diploma,$0 - $15k: living in poverty,1684
CO,Caucasian,No highschool diploma,$150k+ : upper class,5007
CO,Caucasian,No highschool diploma,$15k - $35k: low income,3193
CO,Caucasian,No highschool diploma,$35k - $70k: middle class,5500
CO,Caucasian,No highschool diploma,$70 - $150k: upper middle class,7591
CO,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,464
CO,Caucasian,Undergraduate degree,$150k+ : upper class,2863
CO,Caucasian,Undergraduate degree,$15k - $35k: low income,963
CO,Caucasian,Undergraduate degree,$35k - $70k: middle class,2226
CO,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,3792
CO,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,41
CO,Not Caucasian,Graduate degree or more,$150k+ : upper class,228
CO,Not Caucasian,Graduate degree or more,$15k - $35k: low income,47
CO,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,136
CO,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,214
CO,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,138
CO,Not Caucasian,Highschool diploma,$150k+ : upper class,252
CO,Not Caucasian,Highschool diploma,$15k - $35k: low income,174
CO,Not Caucasian,Highschool diploma,$35k - $70k: middle class,282
CO,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,329
CO,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,470
CO,Not Caucasian,No highschool diploma,$150k+ : upper class,849
CO,Not Caucasian,No highschool diploma,$15k - $35k: low income,730
CO,Not Caucasian,No highschool diploma,$35k - $70k: middle class,1181
CO,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,1235
CO,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,68
CO,Not Caucasian,Undergraduate degree,$150k+ : upper class,243
CO,Not Caucasian,Undergraduate degree,$15k - $35k: low income,120
CO,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,195
CO,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,332
CT,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,108
CT,Caucasian,Graduate degree or more,$150k+ : upper class,2296
CT,Caucasian,Graduate degree or more,$15k - $35k: low income,179
CT,Caucasian,Graduate degree or more,$35k - $70k: middle class,522
CT,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,1422
CT,Caucasian,Highschool diploma,$0 - $15k: living in poverty,276
CT,Caucasian,Highschool diploma,$150k+ : upper class,1405
CT,Caucasian,Highschool diploma,$15k - $35k: low income,491
CT,Caucasian,Highschool diploma,$35k - $70k: middle class,999
CT,Caucasian,Highschool diploma,$70 - $150k: upper middle class,1642
CT,Caucasian,No highschool diploma,$0 - $15k: living in poverty,1006
CT,Caucasian,No highschool diploma,$150k+ : upper class,4305
CT,Caucasian,No highschool diploma,$15k - $35k: low income,1802
CT,Caucasian,No highschool diploma,$35k - $70k: middle class,2894
CT,Caucasian,No highschool diploma,$70 - $150k: upper middle class,4138
CT,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,173
CT,Caucasian,Undergraduate degree,$150k+ : upper class,2354
CT,Caucasian,Undergraduate degree,$15k - $35k: low income,333
CT,Caucasian,Undergraduate degree,$35k - $70k: middle class,827
CT,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,1846
CT,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,35
CT,Not Caucasian,Graduate degree or more,$150k+ : upper class,339
CT,Not Caucasian,Graduate degree or more,$15k - $35k: low income,35
CT,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,100
CT,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,230
CT,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,94
CT,Not Caucasian,Highschool diploma,$150k+ : upper class,270
CT,Not Caucasian,Highschool diploma,$15k - $35k: low income,147
CT,Not Caucasian,Highschool diploma,$35k - $70k: middle class,277
CT,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,247
CT,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,626
CT,Not Caucasian,No highschool diploma,$150k+ : upper class,1038
CT,Not Caucasian,No highschool diploma,$15k - $35k: low income,912
CT,Not Caucasian,No highschool diploma,$35k - $70k: middle class,1104
CT,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,985
CT,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,62
CT,Not Caucasian,Undergraduate degree,$150k+ : upper class,212
CT,Not Caucasian,Undergraduate degree,$15k - $35k: low income,76
CT,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,182
CT,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,298
DC,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,48
DC,Caucasian,Graduate degree or more,$150k+ : upper class,781
DC,Caucasian,Graduate degree or more,$15k - $35k: low income,42
DC,Caucasian,Graduate degree or more,$35k - $70k: middle class,160
DC,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,371
DC,Caucasian,Highschool diploma,$0 - $15k: living in poverty,34
DC,Caucasian,Highschool diploma,$150k+ : upper class,112
DC,Caucasian,Highschool diploma,$15k - $35k: low income,16
DC,Caucasian,Highschool diploma,$35k - $70k: middle class,21
DC,Caucasian,Highschool diploma,$70 - $150k: upper middle class,34
DC,Caucasian,No highschool diploma,$0 - $15k: living in poverty,31
DC,Caucasian,No highschool diploma,$150k+ : upper class,493
DC,Caucasian,No highschool diploma,$15k - $35k: low income,25
DC,Caucasian,No highschool diploma,$35k - $70k: middle class,30
DC,Caucasian,No highschool diploma,$70 - $150k: upper middle class,81
DC,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,76
DC,Caucasian,Undergraduate degree,$150k+ : upper class,304
DC,Caucasian,Undergraduate degree,$15k - $35k: low income,81
DC,Caucasian,Undergraduate degree,$35k - $70k: middle class,290
DC,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,307
DC,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,25
DC,Not Caucasian,Graduate degree or more,$150k+ : upper class,170
DC,Not Caucasian,Graduate degree or more,$15k - $35k: low income,25
DC,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,76
DC,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,171
DC,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,52
DC,Not Caucasian,Highschool diploma,$150k+ : upper class,110
DC,Not Caucasian,Highschool diploma,$15k - $35k: low income,80
DC,Not Caucasian,Highschool diploma,$35k - $70k: middle class,105
DC,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,124
DC,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,411
DC,Not Caucasian,No highschool diploma,$150k+ : upper class,414
DC,Not Caucasian,No highschool diploma,$15k - $35k: low income,285
DC,Not Caucasian,No highschool diploma,$35k - $70k: middle class,363
DC,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,350
DC,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,41
DC,Not Caucasian,Undergraduate degree,$150k+ : upper class,111
DC,Not Caucasian,Undergraduate degree,$15k - $35k: low income,39
DC,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,106
DC,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,154
DE,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,20
DE,Caucasian,Graduate degree or more,$150k+ : upper class,270
DE,Caucasian,Graduate degree or more,$15k - $35k: low income,51
DE,Caucasian,Graduate degree or more,$35k - $70k: middle class,128
DE,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,340
DE,Caucasian,Highschool diploma,$0 - $15k: living in poverty,80
DE,Caucasian,Highschool diploma,$150k+ : upper class,211
DE,Caucasian,Highschool diploma,$15k - $35k: low income,152
DE,Caucasian,Highschool diploma,$35k - $70k: middle class,323
DE,Caucasian,Highschool diploma,$70 - $150k: upper middle class,428
DE,Caucasian,No highschool diploma,$0 - $15k: living in poverty,281
DE,Caucasian,No highschool diploma,$150k+ : upper class,621
DE,Caucasian,No highschool diploma,$15k - $35k: low income,593
DE,Caucasian,No highschool diploma,$35k - $70k: middle class,1016
DE,Caucasian,No highschool diploma,$70 - $150k: upper middle class,1244
DE,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,41
DE,Caucasian,Undergraduate degree,$150k+ : upper class,309
DE,Caucasian,Undergraduate degree,$15k - $35k: low income,70
DE,Caucasian,Undergraduate degree,$35k - $70k: middle class,264
DE,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,460
DE,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,9
DE,Not Caucasian,Graduate degree or more,$150k+ : upper class,74
DE,Not Caucasian,Graduate degree or more,$15k - $35k: low income,12
DE,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,23
DE,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,86
DE,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,31
DE,Not Caucasian,Highschool diploma,$150k+ : upper class,89
DE,Not Caucasian,Highschool diploma,$15k - $35k: low income,50
DE,Not Caucasian,Highschool diploma,$35k - $70k: middle class,86
DE,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,95
DE,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,202
DE,Not Caucasian,No highschool diploma,$150k+ : upper class,224
DE,Not Caucasian,No highschool diploma,$15k - $35k: low income,279
DE,Not Caucasian,No highschool diploma,$35k - $70k: middle class,383
DE,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,342
DE,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,12
DE,Not Caucasian,Undergraduate degree,$150k+ : upper class,57
DE,Not Caucasian,Undergraduate degree,$15k - $35k: low income,33
DE,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,46
DE,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,88
FL,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,676
FL,Caucasian,Graduate degree or more,$150k+ : upper class,5689
FL,Caucasian,Graduate degree or more,$15k - $35k: low income,1360
FL,Caucasian,Graduate degree or more,$35k - $70k: middle class,3136
FL,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,5944
FL,Caucasian,Highschool diploma,$0 - $15k: living in poverty,2612
FL,Caucasian,Highschool diploma,$150k+ : upper class,5287
FL,Caucasian,Highschool diploma,$15k - $35k: low income,5316
FL,Caucasian,Highschool diploma,$35k - $70k: middle class,8899
FL,Caucasian,Highschool diploma,$70 - $150k: upper middle class,9788
FL,Caucasian,No highschool diploma,$0 - $15k: living in poverty,8698
FL,Caucasian,No highschool diploma,$150k+ : upper class,13050
FL,Caucasian,No highschool diploma,$15k - $35k: low income,16764
FL,Caucasian,No highschool diploma,$35k - $70k: middle class,23613
FL,Caucasian,No highschool diploma,$70 - $150k: upper middle class,22631
FL,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,1579
FL,Caucasian,Undergraduate degree,$150k+ : upper class,6769
FL,Caucasian,Undergraduate degree,$15k - $35k: low income,3083
FL,Caucasian,Undergraduate degree,$35k - $70k: middle class,6522
FL,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,9616
FL,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,168
FL,Not Caucasian,Graduate degree or more,$150k+ : upper class,781
FL,Not Caucasian,Graduate degree or more,$15k - $35k: low income,258
FL,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,669
FL,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,951
FL,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,747
FL,Not Caucasian,Highschool diploma,$150k+ : upper class,1091
FL,Not Caucasian,Highschool diploma,$15k - $35k: low income,1436
FL,Not Caucasian,Highschool diploma,$35k - $70k: middle class,2160
FL,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,1931
FL,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,3608
FL,Not Caucasian,No highschool diploma,$150k+ : upper class,3965
FL,Not Caucasian,No highschool diploma,$15k - $35k: low income,5906
FL,Not Caucasian,No highschool diploma,$35k - $70k: middle class,7277
FL,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,5567
FL,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,332
FL,Not Caucasian,Undergraduate degree,$150k+ : upper class,776
FL,Not Caucasian,Undergraduate degree,$15k - $35k: low income,646
FL,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,1277
FL,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,1582
GA,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,198
GA,Caucasian,Graduate degree or more,$150k+ : upper class,2703
GA,Caucasian,Graduate degree or more,$15k - $35k: low income,376
GA,Caucasian,Graduate degree or more,$35k - $70k: middle class,1092
GA,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,2583
GA,Caucasian,Highschool diploma,$0 - $15k: living in poverty,940
GA,Caucasian,Highschool diploma,$150k+ : upper class,2201
GA,Caucasian,Highschool diploma,$15k - $35k: low income,1596
GA,Caucasian,Highschool diploma,$35k - $70k: middle class,3010
GA,Caucasian,Highschool diploma,$70 - $150k: upper middle class,3975
GA,Caucasian,No highschool diploma,$0 - $15k: living in poverty,3621
GA,Caucasian,No highschool diploma,$150k+ : upper class,6236
GA,Caucasian,No highschool diploma,$15k - $35k: low income,6629
GA,Caucasian,No highschool diploma,$35k - $70k: middle class,9752
GA,Caucasian,No highschool diploma,$70 - $150k: upper middle class,10677
GA,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,435
GA,Caucasian,Undergraduate degree,$150k+ : upper class,3513
GA,Caucasian,Undergraduate degree,$15k - $35k: low income,843
GA,Caucasian,Undergraduate degree,$35k - $70k: middle class,2183
GA,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,4012
GA,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,132
